FIPS,State,County_Name,Population_2010,RUCC_2013,Description
19001,IA,Adair County,"7,682",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
19003,IA,Adams County,"4,029",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
19005,IA,Allamakee County,"14,330",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19007,IA,Appanoose County,"12,887",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
19009,IA,Audubon County,"6,119",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
19011,IA,Benton County,"26,076",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
19013,IA,Black Hawk County,"131,090",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
19015,IA,Boone County,"26,306",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19017,IA,Bremer County,"24,276",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
19019,IA,Buchanan County,"20,958",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19021,IA,Buena Vista County,"20,260",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
19023,IA,Butler County,"14,867",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
19025,IA,Calhoun County,"9,670",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
19027,IA,Carroll County,"20,816",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
19029,IA,Cass County,"13,956",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19031,IA,Cedar County,"18,499",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19033,IA,Cerro Gordo County,"44,151",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
19035,IA,Cherokee County,"12,072",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19037,IA,Chickasaw County,"12,439",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19039,IA,Clarke County,"9,286",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
19041,IA,Clay County,"16,667",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
